wrapper  | --> Wrapper Started as Daemon
jvm 1    | 2018-11-17 07:16:23,574+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - Databases directory: /home/sakamuri_sravanthij/java.com/tool/sonatype-work/nexus/db
jvm 1    | 2018-11-17 07:16:23,594+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.handler.OJMXPlugin - JMX plugin installed and active: profilerManaged=true
jvm 1    | 2018-11-17 07:16:23,595+0000 INFO  [jetty-main-1]  com.orientechnologies.orient.server.OServer - OrientDB Server v2.1.14 is active.
jvm 1    | 2018-11-17 07:16:23,596+0000 INFO  [jetty-main-1]  org.sonatype.nexus.orient.DatabaseServerImpl - Activated
jvm 1    | 2018-11-17 07:16:23,596+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Loading Nexus Configuration...
jvm 1    | 2018-11-17 07:16:23,619+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.StaticConfigurationSource - Configuration loaded successfully.
jvm 1    | 2018-11-17 07:16:23,619+0000 WARN  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - No configuration file in place, copying the default one and continuing with it.
jvm 1    | 2018-11-17 07:16:23,850+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Configuration loaded successfully.
jvm 1    | 2018-11-17 07:16:23,922+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.source.FileConfigurationSource - Nexus configuration validated successfully.
jvm 1    | 2018-11-17 07:16:24,002+0000 INFO  [jetty-main-1]  org.sonatype.nexus.configuration.application.DefaultNexusConfiguration - Applying Nexus Configuration...
jvm 1    | 2018-11-17 07:16:24,017+0000 INFO  [jetty-main-1]  org.sonatype.security.configuration.source.FileSecurityConfigurationSource - Loading Security configuration from /home/sakamuri_sravanthij/java.com/tool/nexus-2.14.10-01/../sonatype-work/nexus/conf/security-configuration.xml
jvm 1    | 2018-11-17 07:16:24,023+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthenticatingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-11-17 07:16:24,024+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthenticatingRealm.authorizationCache]
jvm 1    | 2018-11-17 07:16:24,025+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'XmlAuthorizingRealm.authorizationCache' does not yet exist.  Creating now.
jvm 1    | 2018-11-17 07:16:24,051+0000 INFO  [jetty-main-1]  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [XmlAuthorizingRealm.authorizationCache]
jvm 1    | 2018-11-17 07:16:24,090+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.attributes.DefaultLSAttributeStorage - Default FS AttributeStorage in place, using JacksonJSON marshaller. 
jvm 1    | 2018-11-17 07:16:24,737+0000 INFO  [jetty-main-1]  org.sonatype.nexus.proxy.registry.DefaultRepositoryRegistry - Added repository "Central" [id=central][contentClass=Maven2][mainFacet=org.sonatype.nexus.proxy.maven.MavenProxyRepository]
